layer,neuron,score,explanation
0,210,0.379923244, words related to feathers and bird-like characteristics or actions.
0,514,0.769311751,names of car companies and related industry terms.
0,1114,0.5814008, parts of words with the letter sequence 'es'.
0,1637,0.612169275,"words related to darkness, both literally and metaphorically."
0,109,0.437643856, names and words related to actions or emotions.
0,1798,0.400485527,comma-separated items and punctuation-related elements.
0,370,0.372138124, words related to scientific terminology and discovery.
0,100,0.680095729, instances of the word 'sent' and related nouns or adjectives.
0,1970,0.506410065," words and phrases related to government, organizations, and political structures."
0,166,0.56788786, words related to presentations and communication formats.
0,1387,0.77829461,words related to newness or novelty.
0,1531,0.429283947, specialized and technical terms.
0,0,0.65347593," the word ""ME"" or a part of a word containing ""ME""."
0,600,0.716411558,words related to enclosures or surrounded areas.
0,581,0.485985248,"words and phrases related to groundbreaking events or concepts, along with unique identity and characteristics."
0,1729,0.839874194," instances of the word ""alone"" and words with similar endings."
0,1515,0.487898735,technical terms and programming-related words.
0,327,0.519519781, years and related numerical information.
0,309,0.454695391," words related to goals, actions, and settings."
0,1449,0.658556664, the word 'what' and related pronouns or subjects.
1,1000,0.596364974," instances of the name ""Bob"" and related names."
1,716,0.506525147,words related to recognition or identification processes.
1,692,0.415722994,words and phrases related to environmental issues and hazards.
1,162,0.798895274, Canadian political references and related terms.
1,623,0.431638393,words and phrases related to legal and court proceedings.
1,1627,0.583356233, legislative terms and bill references.
1,354,0.752793197,"words related to nature, natural elements, or the environment."
1,1193,0.551448455," imperative words or phrases, especially involving the word 'must'."
1,1028,0.725312046,"occurrences of the word ""Fantasy""."
1,1543,0.767281186," words related to giving consent, agreement, or authorization."
1,282,0.576601042,words with the syllable 'ardon' or 'rid'.
1,1384,0.43044673," instances of the prefix ""mis-"" and related words."
1,673,0.760873253,the word 'so' in different contexts.
1,1390,0.757857883,words related to rooms and halls.
1,1197,0.51930489,words ending with 'ute' or 'uting'.
1,1966,0.517200074, names of people and words related to personal preferences.
1,484,0.92340238," occurrences of the word ""snap""."
1,1737,0.505492559," sports-related terminology, specifically related to games, points, and performance."
1,309,0.794856688,weight-related terms and phrases.
1,1592,0.609275979,mentions of Raspberry Pi and related technical terms.
2,99,0.647626308, words and phrases related to overlapping and flipping.
2,1458,0.411186803," words and phrases related to countries, particularly Finland."
2,1579,0.476974636, words and phrases related to legal and political processes.
2,1503,0.498386063,partially hidden or cut-off words and property-related terms.
2,70,0.848519978," the word ""somehow"" and words associated with collaboration or team efforts."
2,1938,0.472522104," specific programming languages, tools, and technologies."
2,81,0.693597893,ethnic references and racial identities.
2,1527,0.649939923,"words related to licenses, authorship, and accessibility of content."
2,1987,0.793003126, words related to destruction or damage.
